"merchant","correlation","rank","selected"
"merchant_LOB_FOOTWEAR_2482",0.189652501539718,214,FALSE
"merchant_Amora_Market_6794",0.189015558752575,215,FALSE
"merchant_Conekte_4420",0.188602368766378,216,FALSE
"merchant_Bag_City_Solutions_522",0.187310924473676,217,FALSE
"merchant_Kamite_7167",0.187227165785411,218,FALSE
"merchant_Zapateria_PEREZ_6792",0.185581000671171,219,FALSE
"merchant_City_Make_Up_9126",0.185562418882948,220,FALSE
"merchant_Strahyd_8501",0.184871437729162,221,FALSE
"merchant_TADBUY_Online_5883",0.184871437729162,222,FALSE
"merchant_Watch_Five_234",0.184871437729162,223,FALSE
"merchant_La_Provincia_3181",0.184871437729162,224,FALSE
"merchant_Mobo_2481",0.183936955418739,225,FALSE
"merchant_Porto_Blanco_8368",0.183392143492723,226,FALSE
"merchant_Mc_Nails_5299",0.183386532434723,227,FALSE
"merchant_Chulada_Linda_10360",0.183362707912458,228,FALSE
"merchant_Flux_La_Ribera_10532",0.182400208445325,229,FALSE
"merchant_Don_Dono_10197",0.181965032138675,230,FALSE
"merchant_Fit_Body_1278",0.181148926811718,231,FALSE
"merchant_All_Right_Chef_Tool_S_6006",0.179894434493278,232,FALSE
"merchant_Zapateria_Leal_11299",0.179273920120605,233,FALSE
"merchant_Isabel_V_Flores_2263",0.179273920120605,234,FALSE
"merchant_Get_Fit_Mexico_11231",0.179269735560114,235,FALSE
"merchant_Goc_Make_Up_272",0.179021843941202,236,FALSE
"merchant_Quotidien_3320",0.178752502397904,237,FALSE
"merchant_Oh_Pomp_7161",0.178508615915293,238,FALSE
"merchant_Prodynamics_9729",0.178347606776832,239,FALSE
"merchant_Lush_11251",0.178248139572273,240,FALSE
"merchant_Kboom_Caps_3223",0.177804222209725,241,FALSE
"merchant_Coco_Flamingo_7072",0.177764162859944,242,FALSE
"merchant_Dayva_7242",0.177291586637581,243,FALSE
"merchant_Marchante_7872",0.176881421057303,244,FALSE
"merchant_Jason_Markk_11632",0.175838568105883,245,FALSE
"merchant_CEBU_BOOTS_9627",0.175439994150967,246,FALSE
